kod_nadzsj_d,Obyvatelstvo celkem,Obyvatelstvo celkem - muži,Obyvatelstvo celkem - ženy,Obyvatelstvo - státní občanství: Česká republika - celkem,Obyvatelstvo - státní občanství: Česká republika - muži,Obyvatelstvo - státní občanství: Česká republika - ženy,Obyvatelstvo - státní občanství: Slovenská republika - celkem,Obyvatelstvo - státní občanství: Slovenská republika - muži,Obyvatelstvo - státní občanství: Slovenská  republika - ženy,Obyvatelstvo - státní občanství: země EU mimo ČR - celkem,Obyvatelstvo - státní občanství: země EU mimo ČR - muži,Obyvatelstvo - státní občanství: země EU mimo ČR - ženy,Obyvatelstvo - bez státního občanství - celkem,Obyvatelstvo - bez státního občanství - muži,Obyvatelstvo - bez státního občanství - ženy,Obyvatelstvo - státní občanství: nezjištěno - celkem,Obyvatelstvo - státní občanství: nezjištěno - muži,Obyvatelstvo - státní občanství: nezjištěno - ženy
55105806,2832,1290,1542,2717,1224,1493,28,15,13,32,19,13,0,0,0,13,8,5
55105807,508,263,245,427,214,213,14,7,7,21,13,8,0,0,0,7,6,1
55105808,3123,1594,1529,2751,1378,1373,74,38,36,105,55,50,0,0,0,30,13,17
55105809,55,32,23,53,30,23,1,1,0,2,2,0,0,0,0,0,0,0
55105810,234,121,113,201,98,103,2,2,0,4,3,1,0,0,0,0,0,0
55105811,1753,837,916,1588,739,849,34,20,14,41,25,16,0,0,0,5,3,2
55105812,2570,1300,1270,2266,1098,1168,23,16,7,34,24,10,0,0,0,12,9,3
55105813,1111,541,570,1047,504,543,29,15,14,31,17,14,0,0,0,1,0,1
55105814,1672,830,842,1485,729,756,28,14,14,42,21,21,0,0,0,42,26,16
55106601,2260,1059,1201,2031,937,1094,25,11,14,36,20,16,0,0,0,11,4,7
55106602,443,267,176,293,200,93,7,4,3,11,7,4,0,0,0,1,1,0
55106603,2129,1010,1119,1848,867,981,31,15,16,42,24,18,0,0,0,22,11,11
55106606,652,331,321,581,283,298,9,7,2,10,8,2,0,0,0,6,4,2
55106607,651,313,338,576,275,301,13,6,7,19,10,9,0,0,0,8,2,6
55106608,2203,1064,1139,2011,961,1050,31,18,13,46,26,20,0,0,0,16,10,6
55106609,36,26,10,22,14,8,0,0,0,0,0,0,0,0,0,3,3,0
55107401,43,21,22,43,21,22,0,0,0,0,0,0,0,0,0,0,0,0
55107402,735,388,347,630,316,314,20,13,7,26,16,10,0,0,0,8,5,3
55107403,35,26,9,25,18,7,0,0,0,0,0,0,0,0,0,0,0,0
55107404,145,75,70,128,67,61,5,1,4,6,2,4,0,0,0,0,0,0
55107405,199,128,71,65,42,23,2,1,1,6,3,3,0,0,0,2,1,1
55107406,842,406,436,741,352,389,5,2,3,14,8,6,0,0,0,5,2,3
55107407,1499,761,738,1254,614,640,25,13,12,36,21,15,0,0,0,33,17,16
55107408,390,215,175,339,184,155,9,5,4,14,10,4,0,0,0,6,1,5
55107409,2706,1299,1407,2492,1170,1322,32,20,12,52,34,18,0,0,0,11,5,6
55107410,29,19,10,24,14,10,2,2,0,3,3,0,0,0,0,0,0,0
55107411,364,183,181,314,142,172,4,3,1,6,4,2,0,0,0,5,5,0
55107412,46,22,24,42,21,21,0,0,0,0,0,0,0,0,0,0,0,0
55107413,335,168,167,304,144,160,5,4,1,9,6,3,0,0,0,1,1,0
55107414,602,324,278,511,262,249,7,3,4,10,5,5,0,0,0,2,2,0
55107415,274,137,137,262,132,130,1,0,1,3,1,2,0,0,0,0,0,0
55107416,557,284,273,514,259,255,10,2,8,12,4,8,0,0,0,2,2,0
55107417,300,166,134,262,138,124,1,0,1,5,2,3,0,0,0,15,12,3
55107418,157,95,62,21,14,7,1,0,1,7,5,2,0,0,0,36,24,12
55108201,1106,788,318,879,677,202,31,14,17,43,23,20,0,0,0,26,22,4
55108202,3696,1740,1956,3498,1638,1860,72,35,37,88,47,41,0,0,0,23,13,10
55108203,4604,2256,2348,4296,2089,2207,78,47,31,105,66,39,0,0,0,43,20,23
55108204,37,21,16,33,18,15,1,1,0,1,1,0,0,0,0,0,0,0
55108205,4556,2080,2476,4246,1921,2325,92,48,44,135,76,59,0,0,0,61,33,28
55108206,213,112,101,198,105,93,0,0,0,3,2,1,0,0,0,2,1,1
55109101,1382,677,705,1283,619,664,9,3,6,18,12,6,0,0,0,22,16,6
55109102,1144,549,595,950,446,504,64,36,28,92,55,37,0,0,0,7,3,4
55109103,3016,1411,1605,2913,1357,1556,24,11,13,34,17,17,0,0,0,6,3,3
55109105,7240,3298,3942,6884,3107,3777,85,40,45,132,71,61,0,0,0,42,23,19
55110401,76,42,34,75,41,34,0,0,0,1,1,0,0,0,0,0,0,0
55110402,83,38,45,83,38,45,0,0,0,0,0,0,0,0,0,0,0,0
55111201,1037,527,510,988,496,492,7,3,4,17,11,6,0,0,0,8,5,3
55111202,6344,3044,3300,5978,2838,3140,122,62,60,168,92,76,0,0,0,52,31,21
55111203,2903,1354,1549,2743,1275,1468,41,19,22,65,37,28,0,0,0,20,8,12
55112101,144,74,70,143,73,70,0,0,0,1,1,0,0,0,0,0,0,0
55113901,409,211,198,361,179,182,0,0,0,2,2,0,0,0,0,0,0,0
55114701,5579,2632,2947,5424,2551,2873,48,23,25,62,29,33,0,0,0,18,10,8
55114702,5994,2791,3203,5825,2700,3125,52,25,27,74,42,32,0,0,0,20,11,9
55114704,505,259,246,474,243,231,10,5,5,12,7,5,0,0,0,9,4,5
55115501,219,109,110,215,107,108,2,1,1,2,1,1,0,0,0,0,0,0
55115502,49,26,23,49,26,23,0,0,0,0,0,0,0,0,0,0,0,0
55116301,176,91,85,175,90,85,0,0,0,0,0,0,0,0,0,0,0,0
55116302,34,18,16,34,18,16,0,0,0,0,0,0,0,0,0,0,0,0
55117101,75,49,26,63,41,22,9,6,3,12,8,4,0,0,0,0,0,0
55117102,1387,652,735,1327,618,709,19,9,10,27,13,14,0,0,0,4,4,0
55117103,1115,533,582,1051,500,551,20,8,12,28,15,13,0,0,0,6,4,2
55117104,1741,858,883,1676,820,856,17,8,9,31,19,12,0,0,0,6,2,4
55117105,127,64,63,124,64,60,0,0,0,1,0,1,0,0,0,0,0,0
55117106,172,79,93,155,70,85,5,3,2,6,4,2,0,0,0,3,2,1
55118001,116,61,55,111,59,52,0,0,0,0,0,0,0,0,0,0,0,0
55118002,79,41,38,78,40,38,0,0,0,0,0,0,0,0,0,0,0,0
55118004,104,61,43,102,59,43,2,2,0,2,2,0,0,0,0,0,0,0
55118005,76,37,39,76,37,39,0,0,0,0,0,0,0,0,0,0,0,0
55119801,3996,1907,2089,3920,1868,2052,29,15,14,34,17,17,0,0,0,8,6,2
55119802,37,21,16,35,19,16,1,1,0,1,1,0,0,0,0,0,0,0
55119803,857,446,411,788,404,384,36,19,17,45,25,20,0,0,0,3,2,1
55119804,722,365,357,699,350,349,10,6,4,14,9,5,0,0,0,3,2,1
55119805,299,166,133,288,160,128,0,0,0,6,3,3,0,0,0,0,0,0
55119807,1253,592,661,1189,560,629,22,10,12,33,17,16,0,0,0,7,4,3
55119809,2661,1223,1438,2583,1189,1394,31,11,20,40,17,23,0,0,0,8,3,5
55119810,53,26,27,50,24,26,0,0,0,3,2,1,0,0,0,0,0,0
55119811,1653,814,839,1617,795,822,9,6,3,18,9,9,0,0,0,2,1,1
55119812,3480,1611,1869,3373,1563,1810,41,17,24,57,28,29,0,0,0,9,4,5
55119813,116,63,53,106,56,50,3,2,1,7,5,2,0,0,0,2,2,0
55119814,1684,765,919,1655,750,905,10,4,6,12,5,7,0,0,0,2,2,0
55119816,2119,999,1120,1985,937,1048,58,28,30,77,39,38,0,0,0,12,4,8
55119817,5614,2587,3027,5345,2448,2897,80,40,40,119,65,54,0,0,0,34,19,15
55119818,170,85,85,159,79,80,1,0,1,4,2,2,0,0,0,0,0,0
55120101,1303,637,666,1296,632,664,3,2,1,4,3,1,0,0,0,1,1,0
55121002,884,438,446,863,425,438,8,5,3,9,6,3,0,0,0,1,0,1
55121003,68,37,31,68,37,31,0,0,0,0,0,0,0,0,0,0,0,0
55121004,153,74,79,148,73,75,4,1,3,4,1,3,0,0,0,0,0,0
55122801,1349,642,707,1285,611,674,19,8,11,25,11,14,0,0,0,4,2,2
55122803,3990,1883,2107,3823,1785,2038,40,22,18,66,34,32,0,0,0,18,8,10
